arrondissement,surface_moyenne,surface_totale,nb_chantiers
19,651.37325,104219.72,160
8,624.554335443038,197359.17,316
11,409.1723404255319,96155.5,235
10,396.07617346938775,77630.93000000001,196
12,379.35489959839356,94459.37000000001,249
13,294.82246153846154,76653.84,260
7,213.28335135135134,39457.42,185
16,204.40906474820144,56825.72,278
20,169.63058091286308,40880.97,241
15,140.60879032258063,34870.98,248
1,133.43868055555555,19215.170000000002,144
14,127.1697461928934,25052.44,197
5,114.79446601941747,11823.83,103
3,86.35144578313253,7167.17,83
17,68.94171296296297,14891.41,216
18,66.05651315789474,20081.18,304
9,57.9480487804878,11879.35,205
2,57.287800000000004,5728.78,100
6,44.97883211678832,6162.1,137
4,39.60836538461538,4119.27,104
